geoid,name,county,state,total_population,median_income,median_home_value,educational_attainment,white_alone,black_alone,native,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino
36047024500,Census Tract 245, Kings County, New York,4223,57738,695400,1168,599,3010,26,326,0,0,92,170
36047024600,Census Tract 246, Kings County, New York,3083,46523,750000,537,1880,0,7,959,0,0,28,216
36047024700,Census Tract 247, Kings County, New York,2295,45394,1027800,499,508,1358,19,136,0,0,60,214
36047024800,Census Tract 248, Kings County, New York,3048,52083,726000,280,1129,48,7,1086,0,115,23,640
36047024900,Census Tract 249, Kings County, New York,4208,56786,1018300,1476,931,2810,0,175,0,0,52,240
36047025000,Census Tract 250, Kings County, New York,1349,47000,665700,169,362,0,44,794,0,0,9,164
36047025100,Census Tract 251, Kings County, New York,3473,34894,705200,622,376,2550,22,83,0,7,70,365
36047025200,Census Tract 252, Kings County, New York,5334,42367,635800,1001,2346,96,9,1856,0,0,96,931
36047025300,Census Tract 253, Kings County, New York,2811,47935,796600,953,936,1212,0,205,0,0,28,430
36047025400,Census Tract 254, Kings County, New York,4347,46016,608900,887,1291,0,12,2379,0,0,0,665
36047025500,Census Tract 255, Kings County, New York,5613,21653,-666666666,187,154,1771,45,15,0,0,37,3621
36047025600,Census Tract 256, Kings County, New York,3166,47386,753500,520,694,21,0,2188,0,0,97,166
36047025700,Census Tract 257, Kings County, New York,2442,55536,653000,447,427,789,116,128,0,0,39,1059
36047025800,Census Tract 258, Kings County, New York,4242,37008,818100,841,1667,2,0,1875,0,76,25,597
36047025901,Census Tract 259.01, Kings County, New York,1981,46528,687500,365,406,758,0,10,0,0,22,785
36047025902,Census Tract 259.02, Kings County, New York,3736,16406,-666666666,88,0,1987,27,76,0,0,70,1603
36047026000,Census Tract 260, Kings County, New York,3428,51719,712600,491,1114,45,8,1976,0,0,28,257
36047026100,Census Tract 261, Kings County, New York,4591,45228,590300,1108,1035,2301,67,81,0,0,80,1094
36047026200,Census Tract 262, Kings County, New York,2404,57879,693700,516,812,30,0,1105,0,0,27,430
36047026300,Census Tract 263, Kings County, New York,1865,39150,659400,493,308,1238,30,40,0,26,8,245
36047026400,Census Tract 264, Kings County, New York,4743,44262,683500,781,1683,52,47,2084,0,0,0,924
36047026500,Census Tract 265, Kings County, New York,3594,52295,606100,847,612,2247,3,63,0,0,97,572
36047026600,Census Tract 266, Kings County, New York,3607,49068,781300,480,1490,4,0,1623,0,0,4,486
36047026700,Census Tract 267, Kings County, New York,3897,43068,836400,1320,817,2358,0,101,0,11,138,472
36047026800,Census Tract 268, Kings County, New York,3667,55553,826200,675,1693,2,0,1041,0,0,30,901
36047026900,Census Tract 269, Kings County, New York,2979,48990,997500,751,265,2096,0,291,0,0,23,304
36047027000,Census Tract 270, Kings County, New York,2420,51786,754900,620,1666,21,10,594,0,0,6,123
36047027100,Census Tract 271, Kings County, New York,2658,41726,670600,640,278,1991,58,73,0,25,29,204
36047027200,Census Tract 272, Kings County, New York,3684,50833,773900,746,1679,0,45,1069,0,0,30,861
36047027300,Census Tract 273, Kings County, New York,2895,37917,653100,558,234,2454,0,18,0,0,54,135
36047027400,Census Tract 274, Kings County, New York,3084,44602,723100,485,1391,3,0,1380,0,0,0,310
36047027500,Census Tract 275, Kings County, New York,4500,60875,692800,1274,568,3057,0,227,0,33,176,439
36047027600,Census Tract 276, Kings County, New York,4132,51940,752700,655,1392,0,0,1506,0,0,0,1234
36047027700,Census Tract 277, Kings County, New York,4832,40269,647600,634,357,4039,27,34,0,0,84,318
36047027800,Census Tract 278, Kings County, New York,3461,51739,678100,733,1683,49,0,1323,0,26,66,314
36047027900,Census Tract 279, Kings County, New York,4057,58690,730400,876,375,3220,0,17,0,19,109,317
36047028000,Census Tract 280, Kings County, New York,1666,58657,595100,375,678,39,0,746,0,8,7,188
36047028100,Census Tract 281, Kings County, New York,4798,27101,491700,433,358,2551,7,130,0,0,111,1641
36047028200,Census Tract 282, Kings County, New York,3245,58750,598800,894,1675,0,0,1265,0,16,71,218
36047028300,Census Tract 283, Kings County, New York,4142,33351,544100,221,323,2236,14,94,0,0,12,1463
36047028400,Census Tract 284, Kings County, New York,3759,55743,753500,691,1974,30,0,1355,0,0,0,400
36047028501,Census Tract 285.01, Kings County, New York,432,92308,-666666666,138,159,21,0,20,0,0,0,232
36047028502,Census Tract 285.02, Kings County, New York,2749,16727,-666666666,111,8,1473,0,86,0,0,0,1182
